epoch,batch,loss,loss_name
1,61,152001.65625,MSE
1,62,26468.28125,MSE
1,63,294004.03125,MSE
1,64,132458.8125,MSE
1,65,28290.072265625,MSE
1,66,86637.453125,MSE
1,67,144873.3125,MSE
1,68,266475.875,MSE
1,69,18919.3515625,MSE
1,70,179329.328125,MSE
1,71,275353.75,MSE
1,72,278044.40625,MSE
1,73,63161.69140625,MSE
1,74,220120.265625,MSE
1,75,141695.953125,MSE
1,76,43748.421875,MSE
1,77,148643.5,MSE
1,78,160295.09375,MSE
1,79,42831.1953125,MSE
1,80,110114.921875,MSE
1,81,126123.75,MSE
1,82,7797.3642578125,MSE
1,83,69654.6796875,MSE
1,84,13437.708984375,MSE
1,85,237612.3125,MSE
1,86,290523.3125,MSE
1,87,405389.1875,MSE
1,88,206195.4375,MSE
1,89,272060.9375,MSE
1,90,45824.79296875,MSE
1,91,486854.75,MSE
1,92,33189.4296875,MSE
1,93,473147.875,MSE
1,94,242026.703125,MSE
1,95,35890.0078125,MSE
1,96,248971.8125,MSE
1,97,175102.90625,MSE
1,98,46759.578125,MSE
1,99,61655.1875,MSE
1,100,41588.9296875,MSE
1,101,79528.328125,MSE
1,102,102538.5,MSE
1,103,94878.5,MSE
1,104,21779.775390625,MSE
1,105,1015337.375,MSE
1,106,82977.359375,MSE
1,107,60180.421875,MSE
1,108,120664.6484375,MSE
1,109,510612.71875,MSE
1,110,690521.5,MSE
1,111,276164.25,MSE
1,112,58135.8359375,MSE
1,113,22293.611328125,MSE
1,114,108284.546875,MSE
1,115,121625.328125,MSE
1,116,126324.7890625,MSE
1,117,69997.125,MSE
1,118,261246.859375,MSE
1,119,26795.15234375,MSE
1,120,105861.09375,MSE
1,121,247554.34375,MSE
1,122,139942.65625,MSE
1,123,133673.671875,MSE
1,124,467878.5,MSE
1,125,337065.4375,MSE
1,126,164487.59375,MSE
1,127,259952.4375,MSE
1,128,32297.31640625,MSE
1,129,71217.625,MSE
1,130,42381.6640625,MSE
1,131,29623.8828125,MSE
1,132,90718.9375,MSE
1,133,294587.1875,MSE
1,134,263119.125,MSE
1,135,422588.0625,MSE
1,136,418237.0625,MSE
1,137,20492.5625,MSE
2,0,63399.109375,MSE
2,1,164343.8125,MSE
2,2,24013.7109375,MSE
2,3,71992.65625,MSE
2,4,222236.0625,MSE
2,5,106388.46875,MSE
2,6,8612.935546875,MSE
2,7,23067.140625,MSE
2,8,12068.8330078125,MSE
2,9,69231.8125,MSE
2,10,50317.66015625,MSE
2,11,60028.08984375,MSE
2,12,161314.421875,MSE
2,13,419316.8125,MSE
2,14,7788.6376953125,MSE
2,15,199595.625,MSE
2,16,401236.625,MSE
2,17,33736.2890625,MSE
2,18,53517.0546875,MSE
2,19,393372.15625,MSE
2,20,24301.62109375,MSE
2,21,69059.0078125,MSE
2,22,21628.548828125,MSE
2,23,34964.4296875,MSE
2,24,121544.1875,MSE
2,25,57367.94921875,MSE
2,26,84984.875,MSE
2,27,309567.5625,MSE
2,28,15582.3125,MSE
2,29,20894.251953125,MSE
2,30,18756.888671875,MSE
2,31,23548.62890625,MSE
2,32,184695.671875,MSE
2,33,15898.537109375,MSE
2,34,8672.36328125,MSE
2,35,299190.21875,MSE
2,36,678455.125,MSE
2,37,65319.265625,MSE
2,38,250166.3125,MSE
2,39,174377.0,MSE
2,40,108531.484375,MSE
2,41,30447.84375,MSE
2,42,156500.75,MSE
2,43,54954.5,MSE
2,44,66271.828125,MSE
2,45,411516.4375,MSE
2,46,203547.234375,MSE
2,47,67847.75,MSE
2,48,138259.359375,MSE
2,49,22158.775390625,MSE
2,50,18330.404296875,MSE
2,51,173986.953125,MSE
2,52,403181.84375,MSE
2,53,71410.859375,MSE
2,54,65682.5703125,MSE
2,55,104429.171875,MSE
2,56,50565.12109375,MSE
2,57,356713.1875,MSE
2,58,100951.390625,MSE
2,59,398705.125,MSE
2,60,39793.12109375,MSE
2,61,126200.21875,MSE
2,62,68685.859375,MSE
2,63,63992.9453125,MSE
